"Storet Code","Description","Result","Units","Qualifier","MCL","MCL Units","Limit of Quantitation","Limit of Detection","Labslip Order"
"1074","ANTIMONY TOTAL","0","MG/L","Non-detect","0.006","MG/L",".0011",".00032","1"
"1005","ARSENIC","0.0005","MG/L","","0.010","MG/L",".00044",".00014","2"
"1010","BARIUM","0.02","MG/L","","2","MG/L",".00029",".00009","3"
"1075","BERYLLIUM TOTAL","0","MG/L","Non-detect","0.004","MG/L",".0002",".00006","4"
"1015","CADMIUM","0","MG/L","Non-detect","0.005","MG/L",".0004",".00012","5"
"1020","CHROMIUM","0","MG/L","Non-detect","0.1","MG/L",".0019",".00058","6"
"1024","CYANIDE","0","MG/L","Non-detect","0.2","MG/L",".023",".007","7"
"1025","FLUORIDE","0.65","MG/L","","4","MG/L",".16",".046","8"
"1035","MERCURY","0","MG/L","Non-detect","0.002","MG/L",".00005",".000015","9"
"1036","NICKEL","0.00054","MG/L","Between LOD and LOQ","0.1","MG/L",".0017",".0005","10"
"1038","NITRATE-NITRITE (N03+N02)","0.36","MG/L","","10","MG/L",".12",".036","11"
"1041","NITRITE (N02-N)","0","MG/L","Non-detect","1","MG/L",".12",".036","12"
"1045","SELENIUM","0","MG/L","Non-detect","0.05","MG/L",".0016",".00047","13"
"1052","SODIUM","9.6","MG/L","","","MG/L","0.15","0.045","14"
"1055","SULFATE","25","MG/L","","","MG/L","5.0","1.5","15"
"1085","THALLIUM TOTAL","0","MG/L","Non-detect","0.002","MG/L",".00036",".00011","16"
