"Sample Group","Source","Source ID","Well #","Site ID","Sample ID","Sample Date","Sample Type","# Samples","# Results","Sample Time","Description","Date Reported","Source","Collector","Lab ID","Lab","Reason for No Results","Lab Comments"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","1241040","02/23/2021","Compliance","1","1","1305","","03/02/2021","Entry Point","B ANGELL","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","","1241039","02/23/2021","Raw Water","1","2","1305","","03/02/2021","Well","B ANGELL","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1236564","01/18/2021","Compliance","1","1","1040","","02/01/2021","Entry Point","D ANGELL","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1236563","01/18/2021","Raw Water","1","2","1040","","02/01/2021","Well","D ANGELL","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1232203","12/14/2020","Compliance","1","1","1155","","12/18/2020","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1232202","12/14/2020","Raw Water","1","2","1155","","12/18/2020","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1228883","11/17/2020","Compliance","1","1","1215","","11/30/2020","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1228882","11/17/2020","Raw Water","1","2","1215","","11/30/2020","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","1223717","10/20/2020","Compliance","1","1","1415","","11/02/2020","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","","1223718","10/20/2020","Raw Water","1","2","1415","","11/02/2020","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1214334","09/14/2020","Compliance","1","1","1005","","09/28/2020","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","1214333","09/14/2020","Raw Water","1","2","1005","","09/28/2020","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Synthetic Organics","Entry Point","100","(none)","","1208239","08/17/2020","Compliance","1","37","1400","","09/08/2020","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","1208241","08/17/2020","Compliance","1","1","1215","","08/24/2020","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
