"Storet Code","Description","Result","Units","Qualifier","MCL","MCL Units","Limit of Quantitation","Limit of Detection","Labslip Order"
"2051","ALACHLOR (LASSO)","0","UG/L","Non-detect","2","UG/L",".015",".0044","1"
"2047","ALDICARB TOTAL","0","UG/L","Non-detect","3","UG/L",".78",".23","2"
"2044","ALDICARB SULFONE","0","UG/L","Non-detect","2","UG/L","1.2",".35","3"
"2043","ALDICARB SULFOXIDE","0","UG/L","Non-detect","4","UG/L",".99",".3","4"
"2356","ALDRIN","0","UG/L","Non-detect","","UG/L","0.042","0.013","5"
"2050","ATRAZINE","0.024","UG/L","","3","UG/L",".02",".006","6"
"2076","BUTACHLOR (MACHETE)","0","UG/L","Non-detect","","UG/L","0.10","0.031","7"
"2021","CARBARYL","0","UG/L","Non-detect","","UG/L","0.85","0.25","8"
"2046","CARBOFURAN","0","UG/L","Non-detect","40","UG/L","1.2",".36","9"
"2959","CHLORDANE","0","UG/L","Non-detect","2","UG/L",".23",".07","10"
"2105","2,4-D","0","UG/L","Non-detect","70","UG/L",".23",".07","11"
"2031","DALAPON","0","UG/L","Non-detect","200","UG/L","2.7",".81","12"
"2440","DICAMBA","0","UG/L","Non-detect","","UG/L","0.70","0.21","13"
"2070","DIELDRIN","0","UG/L","Non-detect","","UG/L","0.047","0.014","14"
"2041","DINOSEB","0","UG/L","Non-detect","7","UG/L",".56",".17","15"
"2032","DIQUAT","0","UG/L","Non-detect","20","UG/L","1.2",".37","16"
"2033","ENDOTHALL","0","UG/L","Non-detect","100","UG/L","5.1","1.5","17"
"2005","ENDRIN","0","UG/L","Non-detect","2.0","UG/L",".027",".008","18"
"2034","GLYPHOSATE","0","UG/L","Non-detect","700","UG/L","10","3","19"
"2065","HEPTACHLOR","0","UG/L","Non-detect","0.4","UG/L",".043",".013","20"
"2067","HEPTACHLOR EPOXIDE","0","UG/L","Non-detect","0.2","UG/L",".04",".012","21"
"2274","HEXACHLOROBENZENE (HCB)","0","UG/L","Non-detect","1","UG/L",".047",".014","22"
"2042","HEXACHLOROCYCLOPENTADIENE","0","UG/L","Non-detect","50","UG/L",".021",".0063","23"
"2066","3-HYDROXYCARBOFURAN","0","UG/L","Non-detect","","UG/L","0.95","0.28","24"
"2010","BHC-GAMMA (LINDANE)","0","UG/L","Non-detect","0.2","UG/L",".016",".0049","25"
"2022","METHOMYL","0","UG/L","Non-detect","","UG/L","0.98","0.29","26"
"2015","METHOXYCHLOR","0","UG/L","Non-detect","40","UG/L",".031",".0094","27"
"2045","METOLACHLOR (DUAL)","0.012","UG/L","Between LOD and LOQ","","UG/L","0.021","0.0064","28"
"2595","METRIBUZIN (SENCOR)","0","UG/L","Non-detect","","UG/L","0.017","0.0052","29"
"2036","OXAMYL (VYDATE)","0","UG/L","Non-detect","200","UG/L","1.3",".39","30"
"2383","PCB, TOTAL","0","UG/L","Non-detect","0.5","UG/L",".4",".1","31"
"2326","PENTACHLOROPHENOL","0","UG/L","Non-detect","1","UG/L",".14",".04","32"
"2040","PICLORAM","0","UG/L","Non-detect","500","UG/L",".33",".1","33"
"2077","PROPACHLOR (RAMROD)","0","UG/L","Non-detect","","UG/L","0.016","0.0049","34"
"2110","2,4,5-TP (SILVEX)","0","UG/L","Non-detect","50","UG/L",".44",".13","35"
"2037","SIMAZINE","0","UG/L","Non-detect","4","UG/L",".023",".0068","36"
"2020","TOXAPHENE","0","UG/L","Non-detect","3","UG/L","2.2",".66","37"
