"Storet Code","Description","Result","Units","Qualifier","MCL","MCL Units","Limit of Quantitation","Limit of Detection","Labslip Order"
"2990","BENZENE","0","UG/L","Non-detect","5","UG/L","1.4",".43","1"
"2993","BROMOBENZENE","0","UG/L","Non-detect","","UG/L","0.46","0.14","2"
"2943","BROMODICHLOROMETHANE","3.8","UG/L","","80","UG/L","1.4",".42","3"
"2942","BROMOFORM","0","UG/L","Non-detect","80","UG/L","1.3",".39","4"
"2214","BROMOMETHANE","0","UG/L","Non-detect","","UG/L","3.5","1.0","5"
"2982","CARBON TETRACHLORIDE","0","UG/L","Non-detect","5","UG/L",".93",".28","6"
"2216","CHLOROETHANE","0","UG/L","Non-detect","","UG/L","8.9","2.7","7"
"2941","CHLOROFORM","3.4","UG/L","","80","UG/L","1.7",".52","8"
"2210","CHLOROMETHANE (METHYLCHLORIDE)","0","UG/L","Non-detect","","UG/L","1.3","0.40","9"
"2965","O-CHLOROTOLUENE","0","UG/L","Non-detect","","UG/L","1.2","0.36","10"
"2966","P-CHLOROTOLUENE","0","UG/L","Non-detect","","UG/L","1.3","0.40","11"
"2944","DIBROMOCHLOROMETHANE","2.5","UG/L","","80","UG/L","1.4",".41","12"
"2408","DIBROMOMETHANE","0","UG/L","Non-detect","","UG/L","1.3","0.38","13"
"2967","M-DICHLOROBENZENE","0","UG/L","Non-detect","","UG/L","0.62","0.19","14"
"2968","O-DICHLOROBENZENE","0","UG/L","Non-detect","600","UG/L",".4",".12","15"
"2969","P-DICHLOROBENZENE","0","UG/L","Non-detect","75","UG/L",".73",".22","16"
"2978","1,1-DICHLOROETHANE","0","UG/L","Non-detect","","UG/L","0.92","0.28","17"
"2980","1,2-DICHLOROETHANE","0","UG/L","Non-detect","5","UG/L","1.4",".43","18"
"2977","1,1-DICHLOROETHYLENE","0","UG/L","Non-detect","7","UG/L",".94",".28","19"
"2380","CIS-1,2-DICHLOROETHYLENE","0","UG/L","Non-detect","70","UG/L","1.2",".35","20"
"2979","TRANS-1,2-DICHLOROETHYLENE","0","UG/L","Non-detect","100","UG/L",".81",".24","21"
"2964","DICHLOROMETHANE","0","UG/L","Non-detect","5","UG/L","3.7","1.1","22"
"2983","1,2-DICHLOROPROPANE","0","UG/L","Non-detect","5","UG/L","2.1",".63","23"
"2412","1,3-DICHLOROPROPANE","0","UG/L","Non-detect","","UG/L","1.3","0.40","24"
"2416","2,2-DICHLOROPROPANE","0","UG/L","Non-detect","","UG/L","2.9","0.87","25"
"2410","1,1-DICHLOROPROPENE","0","UG/L","Non-detect","","UG/L","1.2","0.35","26"
"2413","1,3-DICHLOROPROPENE","0","UG/L","Non-detect","","UG/L","1.7","0.51","27"
"2992","ETHYLBENZENE","0","UG/L","Non-detect","700","UG/L",".9",".27","28"
"2989","MONOCHLOROBENZENE (CHLOROBE..)","0","UG/L","Non-detect","100","UG/L",".95",".28","29"
"2996","STYRENE","0","UG/L","Non-detect","100","UG/L","1",".31","30"
"2986","1,1,1,2-TETRACHLOROETHANE","0","UG/L","Non-detect","","UG/L","1.3","0.38","31"
"2988","1,1,2,2-TETRACHLOROETHANE","0","UG/L","Non-detect","","UG/L","2.0","0.60","32"
"2987","TETRACHLOROETHYLENE","0","UG/L","Non-detect","5","UG/L",".9",".27","33"
"2991","TOLUENE","0","UG/L","Non-detect","1000","UG/L",".69",".21","34"
"2378","1,2,4-TRICHLOROBENZENE","0","UG/L","Non-detect","70","UG/L","1.5",".44","35"
"2981","1,1,1-TRICHLOROETHANE","0","UG/L","Non-detect","200","UG/L","1.5",".44","36"
"2985","1,1,2-TRICHLOROETHANE","0","UG/L","Non-detect","5","UG/L","1.8",".53","37"
"2984","TRICHLOROETHYLENE","0","UG/L","Non-detect","5","UG/L","1.5",".46","38"
"2414","1,2,3-TRICHLOROPROPANE","0","UG/L","Non-detect","","UG/L","3.0","0.91","39"
"2976","VINYL CHLORIDE","0","UG/L","Non-detect","0.2","UG/L",".62",".19","40"
"2955","XYLENES, TOTAL","0","UG/L","Non-detect","10000","UG/L","2.9",".88","41"
