"Storet Code","Description","Result","Units","Qualifier","MCL","MCL Units","Limit of Quantitation","Limit of Detection","Labslip Order"
"2943","BROMODICHLOROMETHANE","6.2","UG/L","","80","UG/L",".65",".18","1"
"2942","BROMOFORM","0.27","UG/L","Between LOD and LOQ","80","UG/L",".47",".13","2"
"2941","CHLOROFORM","7.8","UG/L","","80","UG/L",".67",".19","3"
"2454","DIBROMOACETIC ACID","0.86","UG/L","","","UG/L","0.71","0.21","4"
"2944","DIBROMOCHLOROMETHANE","3","UG/L","","80","UG/L",".72",".2","5"
"2451","DICHLOROACETIC ACID","7.1","UG/L","","","UG/L","0.49","0.15","6"
"2456","HAA5","11.57","UG/L","","60","UG/L","","","7"
"2453","MONOBROMOACETIC ACID","0.41","UG/L","Between LOD and LOQ","","UG/L","0.43","0.13","8"
"2450","MONOCHLOROACETIC ACID","0","UG/L","Non-detect","","UG/L","3.1","0.93","9"
"2452","TRICHLOROACETIC ACID","3.2","UG/L","","","UG/L","0.72","0.22","10"
"2950","TTHM","17.27","UG/L","","80","UG/L","","","11"
