time,round_date,date_time,turbidity_clearwell_ntu
02:00:00,2018-03-01,"2018-03-01 02:00:00",0.0900
05:00:00,2018-03-01,"2018-03-01 05:00:00",0.0900
08:00:00,2018-03-01,"2018-03-01 08:00:00",0.0700
11:00:00,2018-03-01,"2018-03-01 11:00:00",0.0700
14:00:00,2018-03-01,"2018-03-01 14:00:00",0.0700
17:00:00,2018-03-01,"2018-03-01 17:00:00",0.0600
20:00:00,2018-03-01,"2018-03-01 20:00:00",0.0600
22:00:00,2018-03-01,"2018-03-01 22:00:00",0.0600
23:00:00,2018-03-01,"2018-03-01 23:00:00",0.0600
02:00:00,2018-03-02,"2018-03-02 02:00:00",0.0500
05:00:00,2018-03-02,"2018-03-02 05:00:00",0.0600
08:00:00,2018-03-02,"2018-03-02 08:00:00",0.0600
10:00:00,2018-03-02,"2018-03-02 10:00:00",0.0500
12:00:00,2018-03-02,"2018-03-02 12:00:00",0.0500
14:00:00,2018-03-02,"2018-03-02 14:00:00",0.0500
16:00:00,2018-03-02,"2018-03-02 16:00:00",0.0500
19:00:00,2018-03-02,"2018-03-02 19:00:00",0.0500
21:00:00,2018-03-02,"2018-03-02 21:00:00",0.0500
23:00:00,2018-03-02,"2018-03-02 23:00:00",0.0500
02:00:00,2018-03-03,"2018-03-03 02:00:00",0.0400
05:00:00,2018-03-03,"2018-03-03 05:00:00",0.0400
08:00:00,2018-03-03,"2018-03-03 08:00:00",0.0400
11:00:00,2018-03-03,"2018-03-03 11:00:00",0.0500
14:00:00,2018-03-03,"2018-03-03 14:00:00",0.0500
17:00:00,2018-03-03,"2018-03-03 17:00:00",0.0500
20:00:00,2018-03-03,"2018-03-03 20:00:00",0.0500
23:00:00,2018-03-03,"2018-03-03 23:00:00",0.0400
02:00:00,2018-03-04,"2018-03-04 02:00:00",0.0500
05:00:00,2018-03-04,"2018-03-04 05:00:00",0.0500
08:00:00,2018-03-04,"2018-03-04 08:00:00",0.0500
11:00:00,2018-03-04,"2018-03-04 11:00:00",0.0400
14:00:00,2018-03-04,"2018-03-04 14:00:00",0.0400
17:00:00,2018-03-04,"2018-03-04 17:00:00",0.0400
20:00:00,2018-03-04,"2018-03-04 20:00:00",0.0400
23:00:00,2018-03-04,"2018-03-04 23:00:00",0.0400
